id,latitude,longitude,event_type,description,update_at
20,-16.03,-74.33,Sismo,"Magnitud: 4.1, Referencia: 22 km al SO de Chala, Caraveli - Arequipa",2023-12-07 02:21:20
21,-4.27,-77.48,Sismo,"Magnitud: 4.3, Referencia: 55 km al NE de Sta. Maria De Nieva, Condorcanqui - Amazonas",2023-12-07 07:23:18
22,-12.66,-76.84,Sismo,"Magnitud: 3.6, Referencia: 20 km al SO de Chilca, Cañete - Lima",2023-12-08 05:14:19
23,-10.31,-75.32,Sismo,"Magnitud: 3.8, Referencia: 24 km al E de Huancabamba, Oxapampa - Pasco",2023-12-08 12:27:18
24,-11.03,-73.94,Sismo,"Magnitud: 4.1, Referencia: 40 km al SO de Atalaya, Atalaya - Ucayali",2023-12-08 21:45:19
25,-3.57,-80.42,Sismo,"Magnitud: 3.8, Referencia: 4 km al E de Tumbes, Tumbes - Tumbes",2023-12-09 04:37:18
26,-14.36,-76.58,Sismo,"Magnitud: 4.6, Referencia: 83 km al SO de Pisco, Pisco - Ica",2023-12-10 03:47:18
27,-14.39,-76.63,Sismo,"Magnitud: 4.5, Referencia: 89 km al SO de Pisco, Pisco - Ica",2023-12-10 08:48:18
28,-14.39,-76.51,Sismo,"Magnitud: 5.3, Referencia: 83 km al SO de Pisco, Pisco - Ica",2023-12-10 11:43:47
29,-14.39,-76.67,Sismo,"Magnitud: 5.8, Referencia: 91 km al SO de Pisco, Pisco - Ica",2023-12-10 11:55:38
30,-14.41,-76.57,Sismo,"Magnitud: 4.0, Referencia: 87 km al SO de Pisco, Pisco - Ica",2023-12-10 12:47:19
31,-14.35,-76.52,Sismo,"Magnitud: 4.1, Referencia: 79 km al SO de Pisco, Pisco - Ica",2023-12-10 15:46:00
32,-15.34,-72.02,Sismo,"Magnitud: 4.4, Referencia: 31 km al N de Cabanaconde, Caylloma - Arequipa",2023-12-10 17:24:18
33,-14.34,-76.55,Sismo,"Magnitud: 4.0, Referencia: 80 km al SO de Pisco, Pisco - Ica",2023-12-10 21:19:18
34,-16.13,-71.66,Sismo,"Magnitud: 3.9, Referencia: 14 km al N de Yura, Arequipa - Arequipa",2023-12-11 20:22:19
35,-11.56,-76.64,Sismo,"Magnitud: 4.1, Referencia: 12 km al S de Canta, Canta - Lima",2023-12-13 07:46:20
36,-8.33,-76.27,Sismo,"Magnitud: 4.0, Referencia: 28 km al NE de Uchiza, Tocache - San Martin",2023-12-13 12:48:19
37,-7.1,-79.38,Sismo,"Magnitud: 4.0, Referencia: 14 km al NE de Chepen, Chepen - La Libertad",2023-12-13 22:40:19
38,-16.8,-71.34,Sismo,"Magnitud: 3.5, Referencia: 18 km al O de La Capilla, General Sanchez Cerro - Moquegua",2023-12-14 07:00:18
39,-16.73,-71.18,Sismo,"Magnitud: 3.5, Referencia: 3 km al N de La Capilla, General Sanchez Cerro - Moquegua",2023-12-14 03:42:18
40,-15.21,-75.9,Sismo,"Magnitud: 4.1, Referencia: 80 km al O de Marcona, Nazca - Ica",2023-12-14 12:33:18
41,-16.4,-74.03,Sismo,"Magnitud: 4.4, Referencia: 49 km al SO de Atico, Caraveli - Arequipa",2023-12-14 09:52:18
42,-14.45,-76.49,Sismo,"Magnitud: 4.1, Referencia: 88 km al S de Pisco, Pisco - Ica",2023-12-14 16:03:18
43,-16.82,-72.9,Sismo,"Magnitud: 3.7, Referencia: 30 km al SO de Camana, Camana - Arequipa",2023-12-15 10:06:18
44,-16.38,-72.04,Sismo,"Magnitud: 3.5, Referencia: 15 km al NO de Vitor, Arequipa - Arequipa",2023-12-15 15:08:18
45,-14.55,-76.61,Sismo,"Magnitud: 4.0, Referencia: 103 km al SO de Pisco, Pisco - Ica",2023-12-15 17:57:24
