"id","name","country","department","multiregional_or_nationalcd","province","district","location","other_places_involved","company_involved","type","activity","state","active_phases","time_of_dialogue","dialogue_mechanism","participation_dialogue","incident_of_violence","dialogue_after_violence","ombudsman_office","main_government","latitude","longitude","hash","createdAt","updatedAt","source"
4084,Uchubamba - Curimarca,Perú,Junín,"",Jauja,Masma,Tambomayo,"","",Comunal,"",Latente,,"","","",Sí,No,"Colaboración, observación activa y supervisión",Gobierno regional,-11.774068254279479,-75.42560275427947,junin-jauja-masma--comunal-uchubamba - curimarca,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4085,Tumán,Perú,Lambayeque,"",Chiclayo,Tumán,"","",Empresa Agroindustrial Tumán S.A.A,Laboral,"",Latente,,"","","",Sí,Sí,"Colaboración, observación activa y supervisión",Poder judicial,-6.772076794008137,-79.85698769400814,lambayeque-chiclayo-tuman--laboral-tuman,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4086,Pasto Grande - Puno/Moquegua,Perú,Puno,Multiregión,Puno,Acora,"","Región Puno, provincia de El Collao, distrito de Santa Rosa
  Región Moquegua, provincia de Mariscal Nieto, distrito de Carumas","",Demarcación territorial,"",Latente,,"","","",Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-16.27239418507324,-69.89796118507324,puno-puno-acora--demarcacion territorial-pasto grande - puno/moquegua,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4087,Totora Pisquicocha - Hurayhuma,Perú,Apurímac,Multiregión,Aymaraes,Cotaruse,"C.C. Totora Pisquicocha
  C.C. Hurayhuma","Región Ayacucho, Provincia Parinacochas, distrito Cora Cora","",Comunal,"",Latente,,"","","",No,"",Solo monitoreo,Gobierno regional,-14.592642534891626,-73.27862953489162,apurimac-aymaraes-cotaruse--comunal-totora pisquicocha - hurayhuma,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4088,Wampis - Minería ilegal,Perú,Amazonas,"",Condorcanqui,Río Santiago,"","","",Socioambiental,Minería,Activo,,"","","",Sí,No,Solo monitoreo,Gobierno regional,-3.720276004221516,-77.89994400422151,amazonas-condorcanqui-rio santiago-mineria-socioambiental-wampis - mineria ilegal,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4089,Cenepa - Minería informal e ilegal (antes Afrodita),Perú,Amazonas,"",Condorcanqui,El Cenepa,"","",Compañía Minera Afrodita S.A.C.,Socioambiental,Minería,Activo,,"","","",Sí,"","Colaboración, observación activa y supervisión",Gobierno nacional,-4.054273950893564,-78.34093095089356,amazonas-condorcanqui-el cenepa-mineria-socioambiental-cenepa - mineria informal e ilegal (antes afrodita),"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4090,Independencia - Raura,Perú,Huánuco,"",Lauricocha,San Miguel de Cauri,Caserío Independencia,Centro Poblado Independencia,Compañía Minera Raura S.A.,Socioambiental,Minería,Activo,,Suspendido,Mesa de diálogo: negociación mediada o asistida,Colaborador,No,"","Colaboración, observación activa y supervisión",Gobierno nacional,-10.2915295676771,-76.64036706767709,huanuco-lauricocha-san miguel de cauri-mineria-socioambiental-independencia - raura,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4091,Llata - Antamina,Perú,Huánuco,"",Huamalies,Llata,"","","",Socioambiental,Minería,Activo,,En progreso,Mesa de diálogo: negociación mediada o asistida,Colaborador,Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-9.630372505417347,-76.88837200541735,huanuco-huamalies-llata-mineria-socioambiental-llata - antamina,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4092,Sector de Shapajilla - Celdas transitorias,Perú,Huánuco,"",Leoncio Prado,Luyando,C.P. Santa Rosa de Shapajilla,"","",Socioambiental,Residuos y saneamiento,Activo,,"","","",No,No,"Colaboración, observación activa y supervisión",Gobierno local,-9.241677082382964,-75.93918158238297,huanuco-leoncio prado-luyando-residuos y saneamiento-socioambiental-sector de shapajilla - celdas transitorias,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
4093,Derrame canal Puinahua,Perú,Loreto,"",Requena,Puinahua,Bretaña,"CN de 07 De Junio, San Juan De Paucar, San Pedro I y II, Atún Pozo, Manco Capac, Jorge Chávez, Nuevo Kuwai, Urarinas y 28 Julio",Agencia Fluvial Soluciones Fluviales EIRL,Socioambiental,Hidrocarburos,Activo,,"","","",Sí,Sí,"Colaboración, observación activa y supervisión",Gobierno nacional,-5.600109580662983,-74.89811008066299,loreto-requena-puinahua-hidrocarburos-socioambiental-derrame canal puinahua,"2024-05-22 21:21:18","2024-05-22 21:21:18",Defensoría
