"id","source","number","date","address","type","status","machines","lat","lng","state","createdAt","updatedAt","color"
100,,"2021020094","2021-07-28 23:43:27",CL. EUSEBIO DEL LLANO ZAPATA  316  - MIRAFLORES,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M100-1"",""M28-1"",""RES-28""]",-12.1102437348434,-77.0395293017111,1,"2021-07-29 00:27:50","2021-07-29 23:27:45",#D32F2F
101,,"2021020119","2021-07-29 03:53:41",CARRETERAS - PANAMERICANAS PANAMERICANA SUR 57    - PUCUSANA,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,ATENDIENDO,"[""M221-1"",""M125-1"",""M133-1""]",-12.4585179853571,-76.7532310217622,1,"2021-07-29 04:27:47","2021-07-30 03:27:44",#D32F2F
102,,"2021020130","2021-07-29 05:56:33",CL. MANUEL PIMENTEL JIMENEZ  2100  - LIMA,INCENDIO / VEHICULO / AUTOMOVIL / VIA PUBLICA,CERRADO,"[""M3-1"",""AMB-3"",""M65-1""]",-12.037454156861,-77.068851217482,1,"2021-07-29 06:27:48","2021-07-30 05:27:46",#D32F2F
103,,"2021020155","2021-07-29 14:53:36",AV HUAROCHIRI MZ E3 LOTE 9    - SANTA ANITA,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M169-1"",""M138-1"",""AMB8-2"",""RES-96""]",-12.0412857986046,-76.952752553669,1,"2021-07-29 15:27:45","2021-07-30 14:27:49",#D32F2F
104,,"2021020152","2021-07-29 14:31:14",B202    - JESUS MARIA,SERVICIO ESPECIAL / EVENTOS OFICIALES / CEREMONIAS,ATENDIENDO,"[""M138-1"",""AMB-176"",""AMB-115"",""MED-202"",""RES-3"",""RES-4"",""RESLIG-2"",""AUX14-1"",""AUX-83"",""AUX-10"",""AUX-169"",""RES-127"",""RESLIG-21""]",-12.0822857,-77.0419941,1,"2021-07-29 15:27:45","2021-07-30 14:27:49",#40C4FF
105,,"2021020199","2021-07-29 23:30:49",PANAMERICANA NORTE KM 68    - CHANCAY,ACCIDENTE VEHICULAR / PARTICULAR / AUTOMOVIL,CERRADO,"[""AMB-80"",""RES-44"",""AUX44-2"",""AUX-80"",""RES-163""]",-11.6208214,-77.2073442,1,"2021-07-30 00:27:47","2021-07-30 23:27:48",#E65100
106,,"2021020210","2021-07-30 01:01:10",JR. ANTONIO RAYMONDI  1645  - LIMA,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M10-1"",""M2-1"",""AMB-176"",""RES-10""]",-12.0581493927973,-77.0143625454177,1,"2021-07-30 01:27:45","2021-07-31 00:27:47",#D32F2F
107,,"2021020213","2021-07-30 01:22:16",PANAMERICANA NORTE KM 37.5    - PUENTE PIEDRA,ACCIDENTE VEHICULAR / PARTICULAR / AUTOMOVIL,CERRADO,"[""M232-3"",""AMB-150"",""AMB-124"",""RES-207"",""M184-1""]",-11.8249478,-77.1230094,1,"2021-07-30 02:27:45","2021-07-31 00:27:47",#E65100
108,,"2021020221","2021-07-30 03:02:46",CL. CARLOS MOORE  427  - COMAS,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M168-1"",""AMB-124"",""RES-168""]",-11.9189767883764,-77.0381883952861,1,"2021-07-30 03:27:44","2021-07-31 02:27:46",#D32F2F
109,,"2021020232","2021-07-30 04:46:53",CL. ONTARIO (CAMINO ONCE)  185  - CHORRILLOS,INCENDIO / EQUIPOS ELECTRICOS CON ENERGIA / TRANSFORMADORES DE ALTA TENSION,CERRADO,"[""AMB-6"",""RES-120"",""M13-1"",""M6-1""]",-12.1804458367903,-77.0000055682306,1,"2021-07-30 05:27:46","2021-07-31 04:27:46",#D32F2F
110,,"2021020237","2021-07-30 06:18:09",AH. MUNICIPAL III SECTOR HORACIO ZEVALLOS A  LOT 3    - RIMAC,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M2-1"",""M3-1"",""AMB2-2"",""RES-21"",""RES-3""]",-12.0070261593279,-77.0361280543271,1,"2021-07-30 06:27:47","2021-07-31 05:27:46",#D32F2F
111,,"2021020260","2021-07-30 16:20:13",CL. MACCHU PICCHU  100  - CHORRILLOS,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M120-1"",""MED-28"",""M13-1"",""RES-16""]",-12.1935373441597,-77.0071020691351,1,"2021-07-30 16:27:52","2021-07-31 15:27:46",#D32F2F
112,,"2021020281","2021-07-30 19:37:42",AV. JOSE DE LA RIVA AGUERO CRUCE CON AV. VENEZUELA SAN MIGUEL    - SAN MIGUEL,MATERIALES PELIGROSOS (INCIDENTE) / HIDROCARBUROS / ESTACION DE SERVICIO,CERRADO,"[""M60-5"",""M83-1"",""MED-36"",""RES-14"",""MATPEL-1""]",-12.0610252966817,-77.0828606152551,1,"2021-07-30 20:27:57","2021-07-31 19:27:46",#757575
113,,"2021020292","2021-07-30 21:50:46",PJ. ANTONIO RAYMONDI  100  - LA VICTORIA,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M8-1"",""M10-1"",""AMB10-2"",""RES-2""]",-12.0588852604054,-77.0247561176793,1,"2021-07-30 22:27:47","2021-07-31 21:27:45",#D32F2F
114,,"2021020315","2021-07-31 01:40:48",AV. UNIVERSITARIA  1500  - LIMA,ACCIDENTE VEHICULAR / PARTICULAR / AUTOMOVIL,CERRADO,"[""M83-1"",""MED-36"",""AMB-60"",""AMB-14"",""RES-36""]",-12.0646873823529,-77.0780100603075,1,"2021-07-31 02:27:46","2021-08-01 01:27:45",#E65100
115,,"2021020321","2021-07-31 02:28:52",JR. CONTRALMIRANTE MIGUEL GRAU (BENITO LAZO) CRUCE CON JR. LEONCIO PRADO (CAPITAN DE NAVIO ULISES DELBOY) MAGDALENA DEL  440  - MAGDALENA DEL MAR,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M100-1"",""M83-1"",""AMB-83"",""RES-36""]",-12.092680885434,-77.0731356257028,1,"2021-07-31 03:27:47","2021-08-01 02:27:44",#D32F2F
116,,"2021020328","2021-07-31 03:51:57",PJ. VILLA EL SALVADOR SECTOR 1 GRUPO 20 I LT 7    - VILLA EL SALVADOR,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,ATENDIENDO,"[""M105-1"",""RES-105"",""M106-1""]",-12.2027824058083,-76.949011004786,1,"2021-07-31 04:27:46","2021-08-01 03:27:44",#D32F2F
117,,"2021020342","2021-07-31 08:51:35",AH. SAN JUAN DE LA LIBERTAD  COMITE 12  MZ L1 /  AV. VELAZCO ALVARADO    - CHORRILLOS,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M120-1"",""M134-1"",""M16-1"",""CIS-IV"",""AMB-6"",""M6-1"",""M13-1"",""RES-16"",""M106-1""]",-12.1911760370264,-76.9902901330414,1,"2021-07-31 09:27:46","2021-08-01 08:27:43",#D32F2F
118,,"2021020341","2021-07-31 08:35:59",AH. MI PERU GRUPO J7 LT 16    - VENTANILLA,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M75-1"",""AMB-150"",""RES-207"",""M184-1""]",-11.8522708671059,-77.1226638279025,1,"2021-07-31 09:27:46","2021-08-01 08:27:44",#D32F2F
119,,"2021020365","2021-07-31 16:59:22","AV LA PLAYA //  AHH. DESARROLLO  2,000    - VENTANILLA","INCENDIO / FORESTAL / TERRENO DE CULTIVO,CHACRA, OTROS",ATENDIENDO,"[""M75-1"",""M232-3"",""M184-1""]",-11.87744,-77.1330564,1,"2021-07-31 17:27:47","2021-08-01 16:27:42",#D32F2F
120,,"2021020529","2021-08-02 07:13:54",URB SANTA ROSA MZ M LTE 1    - CALLAO,INCENDIO / VEHICULO / AUTOMOVIL / COCHERA - GARAJE - TALLER,CERRADO,"[""M161-1"",""AMB-60"",""RES-168"",""M9-1"",""M60-1""]",-12.0064771470936,-77.0991706642411,1,"2021-08-02 07:27:42","2021-08-03 06:27:45",#D32F2F
121,,"2021020551","2021-08-02 16:03:55",JR. RECUAY  470  - BREÑA,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M14-1"",""M10-1"",""M3-1"",""MED-202"",""RES-10""]",-12.1673312703986,-77.0260671848805,1,"2021-08-02 16:27:42","2021-08-03 15:27:46",#D32F2F
122,,"2021020576","2021-08-02 19:30:54",PJ. OCTAVIO BERNAL  160  - JESUS MARIA,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M36-1"",""M4-1"",""MED-202"",""RES-100""]",-12.0816862593818,-77.05267680347,1,"2021-08-02 20:27:43","2021-08-03 19:27:53",#D32F2F
123,,"2021020593","2021-08-02 22:41:44",CARRETERAS - PANAMERICANAS PANAMERICANA SUR 50    - SAN BARTOLO,ACCIDENTE VEHICULAR / PARTICULAR / AUTOMOVIL,ATENDIENDO,"[""M129-1"",""AMB-125"",""AMB-127"",""RES-49"",""M160-1"",""M133-1""]",-12.3971389228608,-76.7579716011711,1,"2021-08-02 23:27:45","2021-08-03 22:27:47",#E65100
124,,"2021020603","2021-08-03 00:11:57",CL. RAMIRO PRIALE (JAVIER HERAUD)  265  - ATE,INCENDIO / VEHICULO / AUTOMOVIL / COCHERA - GARAJE - TALLER,CERRADO,"[""M169-1"",""M138-1"",""RES-127""]",-12.0532099220156,-76.9574558921596,1,"2021-08-03 00:27:45","2021-08-03 23:27:46",#D32F2F
125,,"2021020598","2021-08-02 23:30:31",AV. AREQUIPA  5280  - MIRAFLORES,INCENDIO / VEHICULO / AUTOMOVIL / COCHERA - GARAJE - TALLER,CERRADO,"[""M28-1"",""RES-11"",""RES-28""]",-12.1186921407567,-77.0288955681481,1,"2021-08-03 00:27:45","2021-08-03 23:27:47",#D32F2F
126,,"2021020615","2021-08-03 02:25:36",AV. NICOLAS DUEÃƒÆ’Ã¢â‚¬ËœAS  000  - LIMA,INCENDIO / VEHICULO / AUTOMOVIL / VIA PUBLICA,CERRADO,"[""M3-1"",""M10-1"",""M65-1""]",-12.0353915708046,-77.0657342745672,1,"2021-08-03 03:27:46","2021-08-04 01:27:47",#D32F2F
127,,"2021020664","2021-08-03 16:20:58",CO. SANTA APOLONIA MZ H  LOTE 14    - SAN MARTIN DE PORRES,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M161-1"",""M168-1"",""AMB65-2""]",-12.0056563010837,-77.0931582466478,1,"2021-08-03 16:27:46","2021-08-04 15:27:48",#D32F2F
128,,"2021020675","2021-08-03 18:03:24",AL. SANTIAGO ANTUNEZ DE MAYOLO  100  - SAN BORJA,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M127-1"",""RES-4"",""RES-127"",""M11-1""]",-12.0841612582106,-76.9985230317009,1,"2021-08-03 18:27:48","2021-08-04 17:28:01",#D32F2F
129,,"2021020674","2021-08-03 17:42:24",AV. ARICA  401  - SAN MIGUEL,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M83-1"",""M36-1"",""AMB-14"",""RES-36""]",-12.0912211291299,-77.0795230701549,1,"2021-08-03 18:27:48","2021-08-04 17:28:02",#D32F2F
130,,"2021020670","2021-08-03 17:28:37",AV. CORONEL NESTOR GAMBETA (EL EMISOR)  7003  - CALLAO,ACCIDENTE VEHICULAR / PARTICULAR / AUTOMOVIL,CERRADO,"[""M1-1"",""M75-1"",""AMB-124"",""RESLIG-161"",""MATPEL-1""]",-11.9789698018771,-77.1253191032756,1,"2021-08-03 18:27:48","2021-08-04 17:28:04",#E65100
131,,"2021020685","2021-08-03 19:47:31",JR. HUANCAYO (30)  624  - SAN MARTIN DE PORRES,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M60-5"",""M3-1"",""AMB65-2"",""M9-1"",""M7-1""]",-12.0322923041542,-77.0904820713572,1,"2021-08-03 20:27:48","2021-08-04 19:27:49",#D32F2F
132,,"2021020712","2021-08-04 00:21:55",AV. PACHACUTEC (LOS HEROES)  1200  - SAN JUAN DE MIRAFLORES,INCENDIO / VEHICULO / AUTOMOVIL / VIA PUBLICA,CERRADO,"[""M120-1"",""M134-1"",""AMB-129""]",-12.159530767094,-76.9576432992329,1,"2021-08-04 00:27:47","2021-08-04 23:27:46",#D32F2F
133,,"2021020707","2021-08-03 23:56:13",CARRETERAS - PANAMERICANAS PANAMERICANA NORTE 36.06    - PUENTE PIEDRA,MATERIALES PELIGROSOS (INCIDENTE) / FUGA GAS GLP Y OTROS GASES INFLAM / EN VEHICULO,CERRADO,"[""M232-3"",""M75-1"",""AMB-150"",""RES-207"",""M163-1""]",-11.8290757774332,-77.1190204518724,1,"2021-08-04 00:27:47","2021-08-04 23:27:47",#757575
134,,"2021020734","2021-08-04 06:38:56",JR. SAENZ PEÃƒÆ’Ã¢â‚¬ËœA  1416  - LA VICTORIA,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M4-1"",""M8-1"",""MED-202"",""RES-4""]",-12.0759358400869,-77.0283530815384,1,"2021-08-04 07:27:47","2021-08-05 06:27:45",#D32F2F
135,,"2021020737","2021-08-04 09:32:03",JR. PEREZ DE TUDELA  2029  - LIMA,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M60-5"",""M161-1"",""AMB-3"",""RES-3""]",-12.0359607528866,-77.0686997955499,1,"2021-08-04 10:27:47","2021-08-05 09:27:44",#D32F2F
136,,"2021020739","2021-08-04 10:41:57",CL. D MZ D LT 4 UR. PRIMAVERA    - SAN JUAN DE LURIGANCHO,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M176-1"",""M138-1"",""M21-1"",""AMB-2"",""RES-236""]",-12.019599186568,-76.9673807387767,1,"2021-08-04 11:27:49","2021-08-05 10:27:43",#D32F2F
137,,"2021020765","2021-08-04 18:20:02",CL. LAS ORQUIDEAS  133  - SANTA ANITA,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M127-1"",""M169-1"",""AMB-2""]",-12.0535673391275,-76.9766040693167,1,"2021-08-04 18:27:47","2021-08-05 17:27:43",#D32F2F
138,,"2021020764","2021-08-04 18:04:17",CL. JOSE OLAYA  900  - VILLA MARIA DEL TRIUNFO,INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE,CERRADO,"[""M120-1"",""M134-1"",""AMB11-2"",""RES-105""]",-12.1422049810567,-76.9397278936764,1,"2021-08-04 18:27:47","2021-08-05 17:27:44",#D32F2F
